what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1323380553912
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1323380553912
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1323380553913
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1323380553913
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1323380553914
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1323380553914
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1323380553915
os,sysinfo,,,"macosx",1323380553918
arch,sysinfo,,,"x86",1323380553918
ws,sysinfo,,,"cocoa",1323380553918
locale,sysinfo,,,"en_US",1323380553918
processors,sysinfo,,,"2",1323380553918
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1323380553918
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1323380553918
java.specification.name,sysinfo,,,"Java Platform API Specification",1323380553918
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323380553918
java.specification.version,sysinfo,,,"1.6",1323380553918
java.vendor,sysinfo,,,"Apple Inc.",1323380553918
java.version,sysinfo,,,"1.6.0_29",1323380553918
java.vm.info,sysinfo,,,"mixed mode",1323380553918
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1323380553918
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1323380553918
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323380553918
java.vm.specification.version,sysinfo,,,"1.0",1323380553918
java.vm.vendor,sysinfo,,,"Apple Inc.",1323380553918
java.vm.version,sysinfo,,,"20.4-b02-402",1323380553918
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1323380554226
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201108301805,"org.eclipse.linuxtools.cdt.autotools.core",1323380554529
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1323380554585
started,bundle,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.core",1323380554625
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1323380554657
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201109151620,"org.eclipse.cdt.msw.build",1323380554717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323380555113
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1323380558833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323380584631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323381208338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323381214279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323381220217
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323381227271
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.0.201109151620,"org.eclipse.cdt.managedbuilder.ui",1323381237773
